row_number,reason
2,"Duplicate employee_id"
3,"Duplicate employee_id"
4,"Duplicate employee_id"
5,"Duplicate employee_id"
6,"Duplicate employee_id"
7,"Duplicate employee_id"
8,"Duplicate employee_id"
